Match Number,Round Number,Date,Location,Home Team,Away Team,Result
69,8,26/10/2024 15:30,Weser-Stadion,SV Werder Bremen,Bayer 04 Leverkusen,
70,8,26/10/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,TSG Hoffenheim,
71,8,26/10/2024 15:30,Red Bull Arena,RB Leipzig,SC Freiburg,
72,8,26/10/2024 15:30,MHPArena,VfB Stuttgart,SV Darmstadt 98,
73,9,02/11/2024 15:30,Holstein-Stadion,SV Darmstadt 98,1. FC Heidenheim 1846,
74,9,02/11/2024 15:30,Borussia-Park,Borussia Mönchengladbach,SV Werder Bremen,
75,9,02/11/2024 15:30,Volkswagen Arena,VfL Wolfsburg,FC Augsburg,
76,9,02/11/2024 15:30,Europa-Park Stadion,SC Freiburg,1. FSV Mainz 05,
77,9,02/11/2024 15:30,PreZero Arena,TSG Hoffenheim,1. FC Köln,
78,9,02/11/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,VfL Bochum 1848,
79,9,02/11/2024 15:30,Signal Iduna Park,Borussia Dortmund,RB Leipzig,
80,9,02/11/2024 15:30,Allianz Arena,FC Bayern München,1. FC Union Berlin,
81,9,02/11/2024 15:30,BayArena,Bayer 04 Leverkusen,VfB Stuttgart,
82,10,09/11/2024 15:30,Millerntor-Stadion,1. FC Köln,FC Bayern München,
83,10,09/11/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,Bayer 04 Leverkusen,
84,10,09/11/2024 15:30,An der Alten Försterei,1. FC Union Berlin,SC Freiburg,
85,10,09/11/2024 15:30,Mewa Arena,1. FSV Mainz 05,Borussia Dortmund,
86,10,09/11/2024 15:30,WWK Arena,FC Augsburg,TSG Hoffenheim,
87,10,09/11/2024 15:30,Weser-Stadion,SV Werder Bremen,SV Darmstadt 98,
88,10,09/11/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,VfL Wolfsburg,
89,10,09/11/2024 15:30,Red Bull Arena,RB Leipzig,Borussia Mönchengladbach,
90,10,09/11/2024 15:30,MHPArena,VfB Stuttgart,Eintracht Frankfurt,
91,11,23/11/2024 15:30,Holstein-Stadion,SV Darmstadt 98,1. FSV Mainz 05,
92,11,23/11/2024 15:30,Borussia-Park,Borussia Mönchengladbach,1. FC Köln,
93,11,23/11/2024 15:30,Volkswagen Arena,VfL Wolfsburg,1. FC Union Berlin,
94,11,23/11/2024 15:30,PreZero Arena,TSG Hoffenheim,RB Leipzig,
