Match Number,Round Number,Date,Location,Home Team,Away Team,Result
286,32,03/05/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,VfL Bochum 1848,
287,32,03/05/2025 15:30,Signal Iduna Park,Borussia Dortmund,VfL Wolfsburg,
288,32,03/05/2025 15:30,Red Bull Arena,RB Leipzig,FC Bayern München,
289,33,10/05/2025 15:30,Holstein-Stadion,Holstein Kiel,SC Freiburg,
290,33,10/05/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,1. FSV Mainz 05,
291,33,10/05/2025 15:30,An der Alten Försterei,1. FC Union Berlin,1. FC Heidenheim 1846,
292,33,10/05/2025 15:30,Volkswagen Arena,VfL Wolfsburg,TSG Hoffenheim,
293,33,10/05/2025 15:30,Weser-Stadion,SV Werder Bremen,RB Leipzig,
294,33,10/05/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,FC St. Pauli,
295,33,10/05/2025 15:30,Allianz Arena,FC Bayern München,Borussia Mönchengladbach,
296,33,10/05/2025 15:30,MHPArena,VfB Stuttgart,FC Augsburg,
297,33,10/05/2025 15:30,BayArena,Bayer 04 Leverkusen,Borussia Dortmund,
298,34,17/05/2025 15:30,Millerntor-Stadion,FC St. Pauli,VfL Bochum 1848,
299,34,17/05/2025 15:30,Borussia-Park,Borussia Mönchengladbach,VfL Wolfsburg,
300,34,17/05/2025 15:30,Mewa Arena,1. FSV Mainz 05,Bayer 04 Leverkusen,
301,34,17/05/2025 15:30,WWK Arena,FC Augsburg,1. FC Union Berlin,
302,34,17/05/2025 15:30,Europa-Park Stadion,SC Freiburg,Eintracht Frankfurt,
303,34,17/05/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,SV Werder Bremen,
304,34,17/05/2025 15:30,PreZero Arena,TSG Hoffenheim,FC Bayern München,
305,34,17/05/2025 15:30,Signal Iduna Park,Borussia Dortmund,Holstein Kiel,
306,34,17/05/2025 15:30,Red Bull Arena,RB Leipzig,VfB Stuttgart,
