Match Number,Round Number,Date,Location,Home Team,Away Team,Result
58,7,20/10/2024 17:30,Volkswagen Arena,VfL Wolfsburg,SV Werder Bremen,2 - 4
67,8,25/10/2024 20:30,Mewa Arena,1. FSV Mainz 05,Borussia Mönchengladbach,1 - 1
64,8,26/10/2024 15:30,Millerntor-Stadion,FC St. Pauli,VfL Wolfsburg,0 - 0
68,8,26/10/2024 15:30,WWK Arena,FC Augsburg,Borussia Dortmund,2 - 1
71,8,26/10/2024 15:30,Red Bull Arena,RB Leipzig,SC Freiburg,3 - 1
72,8,26/10/2024 15:30,MHPArena,VfB Stuttgart,Holstein Kiel,2 - 1
69,8,26/10/2024 18:30,Weser-Stadion,SV Werder Bremen,Bayer 04 Leverkusen,2 - 2
65,8,27/10/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,FC Bayern München,0 - 5
66,8,27/10/2024 17:30,An der Alten Försterei,1. FC Union Berlin,Eintracht Frankfurt,1 - 1
70,8,27/10/2024 19:30,Voith-Arena,1. FC Heidenheim 1846,TSG Hoffenheim,0 - 0
81,9,01/11/2024 20:30,BayArena,Bayer 04 Leverkusen,VfB Stuttgart,0 - 0
73,9,02/11/2024 15:30,Holstein-Stadion,Holstein Kiel,1. FC Heidenheim 1846,1 - 0
75,9,02/11/2024 15:30,Volkswagen Arena,VfL Wolfsburg,FC Augsburg,1 - 1
77,9,02/11/2024 15:30,PreZero Arena,TSG Hoffenheim,FC St. Pauli,0 - 2
78,9,02/11/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,VfL Bochum 1848,7 - 2
80,9,02/11/2024 15:30,Allianz Arena,FC Bayern München,1. FC Union Berlin,3 - 0
79,9,02/11/2024 18:30,Signal Iduna Park,Borussia Dortmund,RB Leipzig,2 - 1
76,9,03/11/2024 15:30,Europa-Park Stadion,SC Freiburg,1. FSV Mainz 05,0 - 0
74,9,03/11/2024 17:30,Borussia-Park,Borussia Mönchengladbach,SV Werder Bremen,4 - 1
84,10,08/11/2024 20:30,An der Alten Försterei,1. FC Union Berlin,SC Freiburg,0 - 0
82,10,09/11/2024 15:30,Millerntor-Stadion,FC St. Pauli,FC Bayern München,0 - 1
83,10,09/11/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,Bayer 04 Leverkusen,1 - 1
85,10,09/11/2024 15:30,Mewa Arena,1. FSV Mainz 05,Borussia Dortmund,3 - 1
87,10,09/11/2024 15:30,Weser-Stadion,SV Werder Bremen,Holstein Kiel,2 - 1
89,10,09/11/2024 18:30,Red Bull Arena,RB Leipzig,Borussia Mönchengladbach,0 - 0
86,10,10/11/2024 15:30,WWK Arena,FC Augsburg,TSG Hoffenheim,0 - 0
90,10,10/11/2024 17:30,MHPArena,VfB Stuttgart,Eintracht Frankfurt,2 - 3
88,10,10/11/2024 19:30,Voith-Arena,1. FC Heidenheim 1846,VfL Wolfsburg,1 - 3
97,11,22/11/2024 20:30,Allianz Arena,FC Bayern München,FC Augsburg,3 - 0
93,11,23/11/2024 15:30,Volkswagen Arena,VfL Wolfsburg,1. FC Union Berlin,1 - 0
94,11,23/11/2024 15:30,PreZero Arena,TSG Hoffenheim,RB Leipzig,4 - 3
96,11,23/11/2024 15:30,Signal Iduna Park,Borussia Dortmund,SC Freiburg,4 - 0
98,11,23/11/2024 15:30,MHPArena,VfB Stuttgart,VfL Bochum 1848,2 - 0
99,11,23/11/2024 15:30,BayArena,Bayer 04 Leverkusen,1. FC Heidenheim 1846,5 - 2
95,11,23/11/2024 18:30,Deutsche Bank Park,Eintracht Frankfurt,SV Werder Bremen,1 - 0
91,11,24/11/2024 15:30,Holstein-Stadion,Holstein Kiel,1. FSV Mainz 05,0 - 3
92,11,24/11/2024 17:30,Borussia-Park,Borussia Mönchengladbach,FC St. Pauli,2 - 0
100,12,29/11/2024 20:30,Millerntor-Stadion,FC St. Pauli,Holstein Kiel,3 - 1
101,12,30/11/2024 15:30,An der Alten Försterei,1. FC Union Berlin,Bayer 04 Leverkusen,
103,12,30/11/2024 15:30,WWK Arena,FC Augsburg,VfL Bochum 1848,
104,12,30/11/2024 15:30,Europa-Park Stadion,SC Freiburg,Borussia Mönchengladbach,
105,12,30/11/2024 15:30,Weser-Stadion,SV Werder Bremen,VfB Stuttgart,
108,12,30/11/2024 15:30,Red Bull Arena,RB Leipzig,VfL Wolfsburg,
107,12,30/11/2024 18:30,Signal Iduna Park,Borussia Dortmund,FC Bayern München,
102,12,01/12/2024 15:30,Mewa Arena,1. FSV Mainz 05,TSG Hoffenheim,
106,12,01/12/2024 17:30,Voith-Arena,1. FC Heidenheim 1846,Eintracht Frankfurt,
116,13,06/12/2024 20:30,MHPArena,VfB Stuttgart,1. FC Union Berlin,
109,13,07/12/2024 15:30,Holstein-Stadion,Holstein Kiel,RB Leipzig,
110,13,07/12/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,SV Werder Bremen,
114,13,07/12/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,FC Augsburg,
115,13,07/12/2024 15:30,Allianz Arena,FC Bayern München,1. FC Heidenheim 1846,
117,13,07/12/2024 15:30,BayArena,Bayer 04 Leverkusen,FC St. Pauli,
111,13,07/12/2024 18:30,Borussia-Park,Borussia Mönchengladbach,Borussia Dortmund,
112,13,08/12/2024 15:30,Volkswagen Arena,VfL Wolfsburg,1. FSV Mainz 05,
113,13,08/12/2024 17:30,PreZero Arena,TSG Hoffenheim,SC Freiburg,
123,14,13/12/2024 20:30,Europa-Park Stadion,SC Freiburg,VfL Wolfsburg,
119,14,14/12/2024 15:30,An der Alten Försterei,1. FC Union Berlin,VfL Bochum 1848,
120,14,14/12/2024 15:30,Borussia-Park,Borussia Mönchengladbach,Holstein Kiel,
121,14,14/12/2024 15:30,Mewa Arena,1. FSV Mainz 05,FC Bayern München,
122,14,14/12/2024 15:30,WWK Arena,FC Augsburg,Bayer 04 Leverkusen,
125,14,14/12/2024 15:30,Signal Iduna Park,Borussia Dortmund,TSG Hoffenheim,
118,14,14/12/2024 18:30,Millerntor-Stadion,FC St. Pauli,SV Werder Bremen,
124,14,15/12/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,VfB Stuttgart,
126,14,15/12/2024 19:30,Red Bull Arena,RB Leipzig,Eintracht Frankfurt,
133,15,20/12/2024 20:30,Allianz Arena,FC Bayern München,RB Leipzig,
127,15,21/12/2024 15:30,Holstein-Stadion,Holstein Kiel,FC Augsburg,
130,15,21/12/2024 15:30,Weser-Stadion,SV Werder Bremen,1. FC Union Berlin,
131,15,21/12/2024 15:30,PreZero Arena,TSG Hoffenheim,Borussia Mönchengladbach,
132,15,21/12/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,1. FSV Mainz 05,
134,15,21/12/2024 15:30,MHPArena,VfB Stuttgart,FC St. Pauli,
135,15,21/12/2024 18:30,BayArena,Bayer 04 Leverkusen,SC Freiburg,
